title,,title,,category_id,introduce,
主理人空间累计*人天,マイスペースの累計利用者数：*人/日,门庭若市,門前成市,12,"成为主理人，来创建管理专属于你的空间吧！
这里记录你名下所有空间，累计被访问的人数*天数，同一人一天多次访问只算做一次哦～
（访问定义：自习室开始专注、寝室预订床位、Co集市进行点单）","オーナーになって、スペースを作成して経営しましょう！
ここでは、あなたのすべてのスペースが記録され、利用人数×日数が表示されます。同じ人が一日に複数回訪れても、一人日としてカウントされます。
（訪問とは自習室での勉強、寮室でのベッド予約、Co市場の店舗での注文を指しています。）"
主理人空间累计*人天,マイスペースの累計利用者数：*人/日,高朋满座,千客万来,12,"成为主理人，来创建管理专属于你的空间吧！
这里记录你名下所有空间，累计被访问的人数*天数，同一人一天多次访问只算做一次哦～
（访问定义：自习室开始专注、寝室预订床位、Co集市进行点单）","オーナーになって、スペースを作成して経営しましょう！
ここでは、あなたのすべてのスペースが記録され、利用人数×日数が表示されます。同じ人が一日に複数回訪れても、一人日としてカウントされます。
（訪問とは自習室での勉強、寮室でのベッド予約、Co市場の店舗での注文を指しています。）"
主理人空间累计*人天,マイスペースの累計利用者数：*人/日,笙歌鼎沸,紅灯緑酒,12,"成为主理人，来创建管理专属于你的空间吧！
这里记录你名下所有空间，累计被访问的人数*天数，同一人一天多次访问只算做一次哦～
（访问定义：自习室开始专注、寝室预订床位、Co集市进行点单）","オーナーになって、スペースを作成して経営しましょう！
ここでは、あなたのすべてのスペースが記録され、利用人数×日数が表示されます。同じ人が一日に複数回訪れても、一人日としてカウントされます。
（訪問とは自習室での勉強、寮室でのベッド予約、Co市場の店舗での注文を指しています。）"
累计Co集市点单*分钟,Co市場の店舗での注文時間：*分,社交小牛,ちょっと外向的な人,13,"来Co集市认识更多的Co岛民，这里记录你在Co集市累计点单的时长（数据将在点单结束后更新）。
要注意劳逸结合，适度放松，也不要呆太久啦！","Co市場で友達を作りましょう。ここでは、Co市場での通算注文時間が記録されます（データは注文後に更新されます）。
適度な休憩をはさむことで勉強にメリハリをもたせましょう。"
累计Co集市点单*分钟,Co市場の店舗での注文時間：*分,社交青牛,とても外向的な人,13,"来Co集市认识更多的Co岛民，这里记录你在Co集市累计点单的时长（数据将在点单结束后更新）。
要注意劳逸结合，适度放松，也不要呆太久啦！",Co市場で友達を作りましょう。ここでは、Co市場での通算注文時間が記録されます（データは注文後に更新されます）。
適度な休憩をはさむことで勉強にメリハリをもたせましょう。
累计Co集市点单*分钟,Co市場の店舗での注文時間：*分,社交成牛,めっちゃ外向的な人,13,"来Co集市认识更多的Co岛民，这里记录你在Co集市累计点单的时长（数据将在点单结束后更新）。
要注意劳逸结合，适度放松，也不要呆太久啦！",Co市場で友達を作りましょう。ここでは、Co市場での通算注文時間が記録されます（データは注文後に更新されます）。
適度な休憩をはさむことで勉強にメリハリをもたせましょう。
累计Co集市点单*分钟,Co市場の店舗での注文時間：*分,社交酷牛,人気者,13,"来Co集市认识更多的Co岛民，这里记录你在Co集市累计点单的时长（数据将在点单结束后更新）。
要注意劳逸结合，适度放松，也不要呆太久啦！",Co市場で友達を作りましょう。ここでは、Co市場での通算注文時間が記録されます（データは注文後に更新されます）。
適度な休憩をはさむことで勉強にメリハリをもたせましょう。
